,beta,lnalpha,lnalpha.c,Smsy_lambert,Umsy_lambert,,,
514100,1.58175E-05,1.404876878,1.846114287,43396.08691,0.686418453,,,
514200,8.0055E-06,1.006556011,2.10592617,92919.49248,0.743867149,,,
514300,2.14248E-05,2.105123184,2.365423366,36992.21929,0.792551449,,,
514400,3.05431E-05,2.025672566,3.583370239,30436.11663,0.929613694,,,
514500,2.13104E-05,2.272735505,3.745798825,44089.5451,0.939567676,,,
514600,7.40173E-06,1.640237214,2.008642486,97735.62621,0.723412919,,,
514700,1.38637E-05,1.271355783,1.82198705,49093.46831,0.680618399,,,
514800,5.56185E-06,0.315914498,0.94028206,73893.14215,0.410982565,,,
514900,2.57763E-06,1.469265381,2.192967845,295282.8294,0.761130393,,,
515000,1.68471E-05,1.935091426,2.349307223,46878.46947,0.78976724,,,
515100,1.21322E-05,1.381111323,1.693900762,53449.54706,0.648462337,,,
515200,1.72088E-05,1.816773304,2.118263562,43371.63732,0.746372993,,,
515300,1.58731E-05,1.785826185,2.204853424,48094.66514,0.76341322,,,
515400,1.75049E-05,1.73725295,2.263823854,44243.60659,0.774479526,,,
515500,7.49038E-06,1.529187914,2.73649678,113293.1135,0.848608789,,,
515600,1.19916E-05,1.516412355,1.876908679,57849.29608,0.693704318,,,
515700,1.65293E-05,2.254598022,2.82698634,52035.3562,0.860107234,,,
515800,1.22582E-05,1.629472281,2.101221708,60605.05368,0.742906451,,,
515900,1.30744E-05,1.484588748,1.864493444,52834.71553,0.690782636,,,
516000,9.08225E-06,1.312409516,2.229133078,84562.90659,0.768021687,,,
516100,2.24249E-05,1.452449893,3.870525808,42198.28685,0.946294064,,,
516200,2.09281E-05,2.410283396,2.726420748,40485.13261,0.847278894,,,
516300,1.89347E-05,2.423492571,2.898996479,45878.82991,0.868703015,,,
516400,1.20027E-05,1.166914117,1.554767995,50895.51966,0.610885741,,,
516500,1.85067E-05,1.912202327,2.309602725,42296.9155,0.782776094,,,
516600,1.54797E-05,1.72088139,2.063480673,47487.62535,0.735095349,,,
516700,8.65211E-06,1.48961075,2.137245563,86706.07816,0.750190182,,,
516800,1.08584E-05,2.000867189,3.226945639,83086.83516,0.902192422,,,
516900,6.09303E-06,0.94797081,1.575211741,101194.6366,0.616582066,,,
517000,9.3414E-06,1.045404592,1.334511365,58411.16818,0.54564185,,,
517100,7.23106E-06,1.586160961,2.124365271,103388.0155,0.747605063,,,
517200,1.08247E-05,1.364390679,1.696796345,59975.24876,0.649214887,,,
517300,7.33428E-06,1.513453033,2.017179537,98886.04128,0.725257727,,,
517400,6.53765E-06,1.22416416,1.584692237,94713.44012,0.619203105,,,
517500,1.88463E-05,1.597042698,2.002063485,38309.05616,0.721984625,,,
517600,7.95154E-06,1.195964119,1.470766856,73802.26847,0.586841902,,,
517700,1.30459E-05,1.105085481,1.727888275,50377.42368,0.657220469,,,
517800,1.59492E-05,2.157783209,2.734447626,53190.06104,0.848339147,,,
517900,1.71807E-05,1.825181204,2.06189722,42766.82319,0.734763567,,,
518000,2.18958E-05,2.371815118,2.855823725,39441.64911,0.863607225,,,
518100,1.25157E-05,1.714135898,2.415850477,64005.15304,0.801066383,,,
518200,1.37583E-05,1.477458706,1.884467124,50549.4656,0.695472673,,,
518300,1.95533E-05,2.270236666,2.92656719,44589.28615,0.871868556,,,
518400,2.8722E-05,1.979032264,2.506976428,28400.34765,0.815713385,,,
518500,1.60016E-05,1.891318618,2.139292967,46907.63994,0.750599146,,,
518600,1.08018E-05,1.433889756,1.752858203,61429.62067,0.663550623,,,
518700,6.39023E-06,1.071517436,1.868159433,108235.2354,0.691647562,,,
518800,2.35035E-05,2.012325642,2.484244635,34554.35885,0.812147332,,,
518900,7.42259E-06,2.044448468,2.660208683,112937.1191,0.838285547,,,
519000,1.17664E-05,1.700030486,2.000225821,61325.86595,0.72158464,,,
519100,1.52186E-05,1.757311747,1.997027886,47368.81399,0.720887507,,,
519200,1.34167E-05,1.68566583,1.995986504,53713.59404,0.720660197,,,
519300,2.00815E-05,2.779056069,3.319086109,45319.95535,0.910094125,,,
519400,1.8324E-05,2.762182826,3.258050987,49384.92304,0.904928192,,,
519500,1.32786E-05,1.703161944,2.182129565,57162.00352,0.759033249,,,
519600,8.68776E-06,1.23943599,1.517209554,69092.88999,0.600262459,,,
519700,1.3948E-05,1.849542213,2.463904908,57994.41764,0.808907457,,,
519800,1.96322E-05,1.910395528,2.493002922,41438.46351,0.813528116,,,
519900,9.2797E-06,1.245045987,1.713781013,70433.86832,0.653605123,,,
520000,2.04754E-05,2.411984245,2.916884732,42527.286,0.870764646,,,
520100,1.54304E-05,2.014471868,2.365917478,51368.61679,0.792636327,,,
520200,4.4272E-06,0.864065918,1.110026938,106564.4032,0.471781563,,,
520300,3.3682E-06,0.489177984,0.950854364,123179.6845,0.414893303,,,
520400,1.77985E-05,1.937867673,2.448904752,45312.06881,0.806488162,,,
520500,1.39252E-05,1.731682242,2.249589781,55428.02567,0.771847735,,,
520600,1.45741E-05,1.963161195,2.419309305,55004.54056,0.801639601,,,
520700,1.39004E-05,2.611168909,4.148018531,68975.99151,0.958796103,,,
520800,1.70369E-05,1.860038644,2.193840063,44685.19485,0.76129852,,,
520900,1.98597E-05,1.816953425,2.31324591,39448.04621,0.783425452,,,
521000,7.60836E-06,1.580714755,2.257215629,101633.0374,0.773260802,,,
521100,1.53101E-05,1.798381217,3.179384328,58645.70305,0.897870515,,,
521200,1.59039E-05,1.441018433,1.809411501,42603.59463,0.677563241,,,
521300,1.80904E-05,2.087191801,2.5184741,45189.53524,0.817495215,,,
521400,1.19148E-05,1.459970343,1.745746154,55540.67766,0.661756607,,,
521500,1.0783E-05,1.62997619,2.13492307,69528.79987,0.749725621,,,
521600,1.74638E-05,1.685956451,2.089156401,42398.07939,0.740429493,,,
521700,9.90983E-06,1.420561129,1.733771336,66471.38732,0.658719825,,,
521800,1.12063E-05,1.567758993,1.918249733,62757.59982,0.703280775,,,
521900,1.24946E-05,1.491822042,1.73449441,52735.12065,0.658903769,,,
522000,3.19381E-06,0.111239822,1.546630238,190556.5965,0.60860141,,,
522100,1.0887E-05,1.597359378,1.978381015,65839.82137,0.716795387,,,
522200,8.69108E-06,1.385199802,1.794938371,77553.0916,0.674019784,,,
522300,2.04694E-05,1.786057253,2.71478488,41316.82852,0.845730523,,,
522400,1.43291E-05,2.097351891,2.516323629,57028.02761,0.817163061,,,
522500,7.98367E-06,1.429725865,1.85602134,86273.18365,0.688776705,,,
522600,1.09033E-05,1.459210179,1.906144426,64246.72241,0.700500821,,,
522700,1.32301E-05,1.800624024,2.034473051,55099.05982,0.728965157,,,
522800,1.00824E-05,1.531844118,1.930276079,70024.97348,0.706022848,,,
522900,9.52835E-06,2.513153902,4.049237829,100196.1705,0.954703882,,,
523000,1.52552E-05,1.824030969,2.172311359,49630.45762,0.757120699,,,
523100,1.49438E-05,1.803566187,2.179471001,50757.93555,0.758516572,,,
523200,1.81554E-05,1.602649293,2.036189802,40171.60529,0.729331042,,,
523300,1.04518E-05,1.604737207,1.912071396,67152.75789,0.701864431,,,
523400,7.60742E-06,1.174127005,1.421494713,75223.75894,0.572258493,,,
523500,1.30632E-05,1.763210369,2.22039205,58666.61966,0.76637103,,,
523600,2.67258E-05,2.971889939,3.473965466,34501.04848,0.92206647,,,
523700,2.32889E-05,2.54515356,3.073286458,38112.62142,0.887599507,,,
523800,1.51936E-05,1.884677498,2.196322397,50138.01082,0.761776486,,,
523900,1.54336E-05,1.597370728,2.028760027,47153.33267,0.727744759,,,
524000,6.36102E-06,1.229521258,1.755092526,104403.5339,0.664112759,,,
524100,2.5925E-05,1.506233333,2.231216257,29639.88708,0.768413675,,,
524200,9.9688E-06,1.096720024,1.623563248,63178.51007,0.629813879,,,
524300,1.21143E-05,1.550272691,2.158360217,62272.00912,0.754382083,,,
524400,7.91537E-06,1.03616432,1.44214945,73074.91794,0.578415175,,,
524500,1.35825E-05,1.815147911,2.297520437,57471.82054,0.780611102,,,
524600,1.68494E-05,1.906361958,2.223592628,45519.46679,0.766976529,,,
524700,1.63751E-05,2.072357922,2.654991915,51148.42068,0.837557951,,,
524800,1.63801E-05,1.592720956,2.236780873,46975.20987,0.769458122,,,
524900,1.36377E-05,2.305007028,3.021300831,64691.11792,0.882235175,,,
525000,8.6879E-06,1.074675075,1.502621603,68610.46518,0.59608091,,,
525100,1.41952E-05,1.77029173,2.131392122,52765.60561,0.749018013,,,
525200,1.4836E-05,2.217062295,4.985897942,66174.05072,0.981759994,,,
525300,5.37871E-06,0.8740814,1.426458446,106669.3807,0.573743782,,,
525400,1.02082E-05,1.730912475,2.124785635,73244.17436,0.747689768,,,
525500,1.06614E-05,1.468561574,2.198562859,71492.50427,0.762207216,,,
525600,1.95255E-05,1.739151873,2.710858736,43287.24076,0.845205016,,,
525700,4.51241E-06,0.234382652,0.974604812,93878.61369,0.423618793,,,
525800,9.22699E-06,0.96704072,1.543183768,65853.68509,0.60763106,,,
525900,1.09411E-05,1.59098679,2.026063763,66462.01133,0.727167294,,,
526000,1.44588E-05,1.468285353,1.819828938,47036.81541,0.680095663,,,
526100,1.69497E-05,2.173149431,3.009572955,51976.95168,0.880993743,,,
526200,1.63964E-05,1.885941066,2.305757083,47698.92043,0.782088915,,,
526300,5.85446E-06,1.495861475,2.136692662,128120.9686,0.75007965,,,
526400,1.2153E-05,1.871458417,2.499458754,67023.7809,0.814540422,,,
526500,1.65649E-05,1.649725329,2.159558735,45555.39671,0.754618322,,,
526600,1.67428E-05,2.2280866,2.564316799,49242.26954,0.82445529,,,
526700,2.23497E-05,2.295693284,2.756165306,38084.50737,0.851175796,,,
526800,2.21252E-05,2.23950994,2.820070211,38836.05652,0.859256194,,,
526900,8.77967E-06,1.637039566,2.15223074,85785.75633,0.75317105,,,
527000,8.33132E-06,1.679172712,2.113212607,89463.50993,0.745349469,,,
527100,6.24777E-06,0.866200919,1.290908288,85131.05772,0.531879261,,,
527200,1.52863E-05,1.359883971,1.773670536,43748.8459,0.668759613,,,
527300,1.89566E-05,1.187138034,2.080626848,38966.25597,0.738667005,,,
527400,8.51114E-06,0.792531854,1.29145116,62512.44355,0.532052338,,,
527500,1.38536E-05,1.5203323,2.317592998,56606.02997,0.784198185,,,
527600,1.77874E-05,1.295589387,2.908997262,48903.14126,0.869859168,,,
527700,9.25189E-06,0.994472624,1.721645747,70863.7889,0.655624141,,,
527800,1.58997E-05,2.527478475,3.057056625,55721.25868,0.885948802,,,
527900,3.27425E-06,1.06753259,1.418165372,174470.3052,0.57126023,,,
528000,2.83304E-06,0.639348424,0.950261151,146370.5973,0.414674306,,,
528100,8.5697E-06,0.310829007,1.096039429,54486.45702,0.466932398,,,
528200,1.99869E-05,1.872028111,2.545585121,41108.93952,0.821639065,,,
528300,1.38351E-05,1.521098409,1.890642515,50372.55911,0.696911634,,,
528400,1.54157E-05,1.250116339,1.622998924,40845.53729,0.629661391,,,
528500,1.42334E-05,2.187465072,2.70242698,59302.04742,0.844071199,,,
528600,8.97833E-06,1.225359806,1.518120976,66885.8066,0.600522683,,,
528700,1.22435E-05,2.247193276,2.918546123,71136.08851,0.87095466,,,
528800,9.59551E-06,0.895692607,1.278293954,55009.59212,0.52784532,,,
528900,1.37171E-05,1.482232445,2.101479438,54162.941,0.742959156,,,
529000,1.66939E-05,1.393419103,2.435846262,48182.96513,0.804361181,,,
529100,1.90757E-05,2.557132514,3.083592539,46584.66964,0.888636539,,,
529200,1.84386E-05,2.204730891,2.509627694,44261.86144,0.816125558,,,
529300,1.49048E-05,1.73108184,2.326017718,52713.95834,0.785689295,,,
529400,7.42277E-06,1.185610968,1.403273221,76356.25761,0.56677505,,,
529500,1.6489E-05,1.871932888,2.293170985,47293.76417,0.779827416,,,
529600,7.33422E-06,0.914688043,1.508900274,81519.85327,0.597884459,,,
529700,1.45264E-05,1.521981239,2.036200389,50207.39748,0.729333297,,,
529800,2.41203E-05,2.480151895,2.893427666,35988.63417,0.868055298,,,
529900,1.30916E-05,1.795764999,2.151644699,57521.8418,0.753055012,,,
530000,1.1066E-05,1.81147339,2.140299449,67847.31383,0.750799991,,,
530100,2.28656E-05,2.005173807,2.895945458,37976.18249,0.868348495,,,
530200,2.80971E-05,2.957455413,3.398145234,32615.51741,0.916402583,,,
530300,8.12426E-06,1.004110424,1.39806141,69569.12904,0.565197662,,,
530400,1.58981E-05,1.877297422,2.388011838,50094.08189,0.796402342,,,
530500,7.81286E-06,1.105240369,1.553687625,78151.0302,0.610583027,,,
530600,1.63864E-05,2.276717576,2.711777945,51587.29839,0.845328189,,,
530700,1.22215E-05,1.355096499,1.664455272,52427.59668,0.640741679,,,
530800,1.73682E-05,2.22458701,2.567594978,47497.34559,0.824944242,,,
530900,4.81824E-06,1.306601674,1.608266019,129853.2516,0.625664144,,,
531000,1.31769E-05,1.856462735,2.405527838,60662.87836,0.799347436,,,
531100,7.02814E-06,0.923907952,1.243055112,73483.3755,0.516451485,,,
531200,1.93245E-05,1.217732135,1.754664064,34360.83961,0.664005016,,,
531300,1.06961E-05,1.974657379,2.791687504,80002.93258,0.855715975,,,
531400,1.12418E-05,1.091521752,1.513812136,53309.17452,0.599291382,,,
531500,1.52928E-05,1.601138857,2.013206549,47368.72402,0.724400391,,,
531600,1.85961E-05,1.459404432,1.837705228,36803.66221,0.684406126,,,
531700,1.42038E-05,1.475875759,1.787570195,47325.73474,0.672204588,,,
531800,1.64196E-05,2.007552325,2.723252828,51576.03651,0.846858683,,,
531900,1.28096E-05,1.623987254,2.112205808,58170.62782,0.745145058,,,
532000,1.08256E-05,2.198804359,2.824283005,79420.89554,0.859775123,,,
532100,1.22154E-05,1.264929853,1.630412172,51710.00272,0.631660893,,,
532200,1.46641E-05,1.707172846,2.014147979,49413.56462,0.724603733,,,
532300,1.54484E-05,2.063882103,2.43921841,52103.27225,0.804912305,,,
532400,1.80747E-05,2.105094987,2.627961738,46127.49952,0.833742749,,,
532500,9.51898E-06,1.15172653,1.6669031,67379.94034,0.641388223,,,
532600,2.08814E-05,1.965353743,2.406797673,38290.46603,0.799559557,,,
532700,9.08147E-06,1.495441509,1.977245761,78901.81545,0.716544749,,,
532800,8.45117E-06,1.167601112,1.4768089,69647.79867,0.588605713,,,
532900,1.58617E-05,2.30443738,2.566637163,51999.45358,0.8248015,,,
533000,1.27199E-05,1.633444347,2.246327661,60632.54218,0.77124108,,,
533100,1.43282E-05,1.926332432,2.205858055,53293.99342,0.763605365,,,
533200,2.01089E-05,2.218266877,2.622664101,41423.6745,0.832986066,,,
533300,1.62498E-05,1.697927621,2.224577223,47210.58772,0.767162543,,,
533400,4.61498E-07,0.701910149,1.067280282,989975.4093,0.456871304,,,
533500,1.14962E-05,1.631336803,1.88410667,60488.5253,0.69538852,,,
533600,7.28336E-06,0.820946632,1.561614466,84137.05598,0.612800151,,,
533700,1.02356E-05,2.023783745,2.432287262,78528.08106,0.803778107,,,
533800,1.03747E-05,1.100087916,1.416111801,55003.13902,0.57064368,,,
533900,1.45834E-05,1.502109819,2.195688437,52227.60192,0.761654492,,,
534000,1.01098E-05,1.474410511,1.917289384,69542.86298,0.703060962,,,
534100,5.27223E-06,1.220222705,1.644289714,120514.9452,0.635382712,,,
534200,1.30138E-05,1.22506266,1.736882915,50678.00258,0.659510862,,,
534300,2.40979E-05,2.563793188,2.966559271,36365.87583,0.876339984,,,
534400,1.34863E-05,1.638360389,1.972004707,53045.53118,0.715385403,,,
534500,1.73825E-05,2.794498782,4.612677469,56017.202,0.973720266,,,
534600,1.67284E-05,1.160217853,1.954119143,42526.59729,0.711401234,,,
534700,2.00633E-05,1.772452095,2.399216085,39788.53588,0.798290307,,,
534800,2.37596E-05,2.361349699,2.699355297,35508.06023,0.843656369,,,
534900,9.15006E-06,1.755914549,2.062327199,80311.39343,0.734853694,,,
535000,9.03943E-06,1.39236039,1.703438394,72010.77159,0.650936621,,,
535100,1.57263E-05,1.930278622,2.366425125,50407.37377,0.792723499,,,
535200,1.16815E-05,1.856333904,2.868610506,74060.45999,0.865134347,,,
535300,1.15981E-05,1.223830115,1.670032851,55372.07936,0.642213635,,,
535400,1.88683E-05,1.807509929,2.248881866,40900.11122,0.771716196,,,
535500,1.18838E-05,2.018044205,2.321290228,66043.94311,0.784853613,,,
535600,1.51054E-05,1.278634572,1.806142009,44802.83906,0.676765328,,,
535700,2.44592E-06,0.669016351,1.057006394,185307.7554,0.453247446,,,
535800,1.30289E-05,2.029894973,2.407708401,61379.80785,0.799711575,,,
535900,1.35422E-05,0.821815295,1.826627225,50341.72898,0.681740146,,,
536000,1.06864E-05,1.630938101,1.980199612,67113.18799,0.717196532,,,
536100,1.11492E-05,1.492619751,1.773921438,59988.34484,0.668822038,,,
536200,7.3865E-06,1.322875076,1.707334663,88261.50313,0.651943682,,,
536300,1.9606E-05,2.179579463,2.570478208,42098.00689,0.825373327,,,
536400,2.39596E-05,2.187145455,2.707993881,35260.14446,0.844820582,,,
536500,1.32155E-05,1.525390641,1.900700874,52911.09468,0.699244208,,,
536600,1.33178E-05,1.484760314,1.805061319,50796.81898,0.67650126,,,
536700,1.32234E-05,1.935485807,2.371337137,60012.05792,0.793565419,,,
536800,1.39559E-05,1.1640719,1.51838878,43035.51378,0.600599122,,,
536900,2.51348E-05,1.992896756,2.95602821,34819.32466,0.875176186,,,
537000,1.87562E-05,2.028592186,2.309746133,41735.68118,0.782801685,,,
537100,1.48256E-05,1.35968685,2.12866168,50484.85009,0.748469732,,,
537200,1.3734E-05,1.879588789,2.551274086,59887.53821,0.822498405,,,
537300,1.23393E-05,1.354034708,1.912390629,56886.47871,0.70193774,,,
