,beta,lnalpha,lnalpha.c,Smsy_lambert,Umsy_lambert,,132409.8585,535832.8105
516400,1.41784E-05,1.482592845,1.988153233,50707.08773,0.718945731,,,
516500,1.70481E-05,1.752695825,2.145295286,44098.57449,0.751795005,,,
516600,1.3852E-05,1.696201759,2.223185421,55363.85461,0.766899563,,,
516700,1.51703E-05,1.838710824,2.372040829,52318.39966,0.7936858,,,
516800,6.38637E-06,1.033962385,1.392720213,88246.85365,0.563576967,,,
516900,2.14497E-06,0.947268599,1.358316637,257830.2384,0.553037054,,,
517000,5.24399E-06,0.981110002,1.423621719,109248.0246,0.572895396,,,
517100,1.46024E-05,2.014978145,2.437012208,55097.36257,0.804551884,,,
517200,3.80687E-06,0.830554283,1.151034944,127619.6781,0.485831227,,,
517300,4.60217E-06,1.060175003,1.418031571,124119.8129,0.571220078,,,
517400,4.01574E-06,1.051761083,1.41363101,141915.9035,0.569898036,,,
517500,1.09587E-05,1.509971818,1.942096485,64670.01965,0.708698843,,,
517600,9.90417E-06,1.213275938,1.452874945,58721.45017,0.581587486,,,
517700,1.2506E-05,1.25609327,1.602307498,49899.09583,0.624038627,,,
517800,1.34493E-05,1.601816218,1.961184859,53012.33901,0.71298033,,,
517900,1.08859E-05,1.134720673,2.056280141,67388.48096,0.73358397,,,
518000,1.42518E-05,1.620307942,2.015541102,50863.97949,0.724904421,,,
518100,7.1825E-06,1.361294416,1.741674969,91991.1887,0.660726438,,,
518200,8.67565E-06,1.199308992,1.643422803,73210.80801,0.635151025,,,
518300,1.14302E-05,1.306038725,1.715497322,57221.04923,0.654046478,,,
518400,1.06401E-05,1.169450842,1.717962562,61529.54582,0.654679694,,,
518500,3.02831E-06,0.836226313,1.375498738,184367.9577,0.558322787,,,
518600,1.57592E-05,1.604514871,1.958935015,45210.18641,0.712478249,,,
518700,3.65998E-06,0.902148057,1.284727733,144783.6996,0.529905721,,,
518800,1.35136E-05,1.586829919,1.902388327,51772.41117,0.69963418,,,
518900,1.15688E-05,1.622757259,2.080967773,63855.84338,0.738737633,,,
519000,7.96024E-06,1.365496415,1.686743854,81228.34449,0.646597163,,,
519100,1.59872E-05,1.767746225,2.327483532,49161.19015,0.785947864,,,
519200,8.43123E-06,1.264407276,1.576271665,73165.57674,0.616875746,,,
519300,8.69883E-06,1.275578288,1.705150983,74881.28632,0.651379537,,,
519400,4.64221E-06,0.97476211,1.445113104,124788.2376,0.579293431,,,
519500,5.82126E-06,0.497503075,1.194191738,85951.85418,0.500348105,,,
519600,1.06553E-05,1.416363679,1.812291361,63655.06815,0.678264831,,,
519700,1.75171E-05,1.931022279,2.430398068,45867.62528,0.803468009,,,
519800,1.4372E-05,1.795074917,2.157651244,52479.9691,0.754242252,,,
519900,1.7331E-05,1.603160597,2.104313238,42902.23691,0.743538095,,,
520000,1.12658E-05,1.619040354,2.105310604,66017.59111,0.743741607,,,
520100,1.15614E-05,1.392461543,1.698201181,56185.29527,0.649579568,,,
520200,1.21411E-05,1.414364418,1.716722907,53896.28438,0.654361387,,,
520300,3.32003E-06,0.956837436,1.298001836,160883.1789,0.534137367,,,
520400,1.66328E-05,1.721072063,2.059301392,44142.73537,0.734218953,,,
520500,1.08709E-05,1.481692915,1.904808836,64409.61678,0.700192883,,,
520600,7.39117E-06,1.074826388,1.497670682,80454.78981,0.5946547,,,
520700,2.10857E-05,1.98150492,2.32735389,37272.83745,0.785925006,,,
520800,5.62302E-06,1.123800851,1.402797482,100769.9429,0.56663123,,,
520900,8.23706E-06,1.154731378,1.788579441,81637.60841,0.672453671,,,
521000,6.49806E-06,1.182136696,1.568989257,94621.33534,0.614854684,,,
521100,1.41971E-05,1.748706765,2.134343802,52800.04177,0.749609645,,,
521200,4.05225E-06,0.760410911,1.208524755,124649.0091,0.505108342,,,
521300,7.21013E-06,1.306725581,1.684961011,89614.36456,0.646131397,,,
521400,1.11383E-05,1.612053608,2.035482767,65466.11003,0.729180401,,,
